ing	427	3
s	400	1
ed	291	2
re	193	2
in	167	2
con	150	3
ly	144	2
c	135	1
d	124	1
ers	124	3
un	123	2
t	119	1
dis	117	3
ated	113	4
b	112	1
f	112	1
ation	108	5
pro	103	3
p	96	1
er	94	2
st	92	2
es	92	2
m	87	1
al	85	2
S	82	1
r	82	1
ations	81	6
ating	79	5
ic	78	2
ex	78	2
im	77	2
se	76	2
h	75	1
H	71	1
sub	70	3
de	70	2
tr	69	2
ity	69	3
per	69	3
able	68	4
e	67	1
en	67	2
ate	66	3
ings	66	4
inter	65	5
v	64	1
w	64	1
res	64	3
ies	64	3
ist	64	3
ad	64	2
n	63	1
ive	63	3
g	60	1
B	58	1
C	58	1
l	58	1
th	58	2
or	57	2
out	55	3
com	55	3
est	55	3
ant	54	3
ent	53	3
sh	53	2
em	53	2
ass	52	3
str	52	3
y	52	1
int	51	3
ary	51	3
an	50	2
sp	50	2
ins	50	3
ac	49	2
over	48	4
ful	47	3
cr	47	2
F	46	1
ally	46	4
comp	46	4
le	46	2
M	45	1
ar	45	2
ch	45	2
ind	45	3
ors	45	3
man	45	3
is	43	2
end	43	3
ical	43	4
ates	43	4
als	43	3
sc	43	2
T	42	1
ism	42	3
R	40	1
up	40	2
pre	40	3
led	39	3
ions	39	4
co	39	2
trans	39	5
W	38	1
at	37	2
age	37	3
def	37	3
gr	37	2
les	37	3
el	37	2
on	36	2
pr	36	2
rem	36	3
ence	36	4
par	36	3
it	35	2
ens	35	3
fr	35	2
k	34	1
as	34	2
op	34	2
ian	34	3
reg	34	3
att	34	3
ment	34	4
ance	34	4
ion	33	3
ap	33	2
cl	33	2
ish	33	3
ely	33	3
br	33	2
ative	33	5
G	32	1
ir	32	2
ine	32	3
ne	32	2
ob	32	2
K	31	1
am	31	2
ab	31	2
under	31	5
ists	31	4
ness	31	4
P	30	1
pl	30	2
ics	30	3
ized	30	4
ability	30	7
ref	30	3
J	29	1
ure	29	3
ast	29	3
back	29	4
ities	29	5
cons	29	4
ically	29	6
inc	29	3
ans	29	3
D	28	1
ert	28	3
rel	28	3
bl	28	2
land	28	4
/	28	1
V	27	1
ol	27	2
us	27	2
lic	27	3
app	27	3
cre	27	3
off	27	3
arr	27	3
fl	27	2
ational	27	7
sl	27	2
ling	27	4
ators	27	5
sur	27	3
leg	27	3
E	26	1
the	26	3
ag	26	2
way	26	3
less	26	4
car	26	3
ments	26	5
ight	25	4
not	25	3
ious	25	4
dr	25	2
ret	25	3
min	25	3
ator	25	4
L	24	1
ous	24	3
ants	24	4
ters	24	4
ter	24	3
ial	24	3
und	24	3
\	24	1
i	23	1
he	23	2
ize	23	3
ph	23	2
ures	23	4
ars	23	3
pres	23	4
ization	23	7
I	22	1
N	22	1
