s	365	1
ing	355	3
ed	264	2
re	215	2
in	209	2
con	202	3
c	154	1
d	144	1
es	132	2
ly	129	2
t	128	1
m	127	1
pro	126	3
dis	119	3
al	117	2
f	113	1
ation	108	5
ant	105	3
b	104	1
r	103	1
ated	97	4
p	95	1
ent	93	3
en	91	2
ex	90	2
im	89	2
ers	88	3
se	86	2
er	85	2
st	84	2
H	79	1
inter	78	5
ations	76	6
res	74	3
per	74	3
de	74	2
ic	73	2
ist	73	3
un	73	2
S	72	1
ar	69	2
tr	69	2
com	69	3
e	68	1
g	68	1
h	68	1
ad	66	2
v	65	1
an	65	2
ating	65	5
ac	64	2
sub	64	3
B	63	1
ine	63	3
trans	63	5
ity	62	3
n	60	1
w	60	1
em	60	2
M	59	1
or	57	2
ate	57	3
pr	57	2
l	55	1
at	55	2
ive	55	3
ind	55	3
is	53	2
us	53	2
W	52	1
man	52	3
a	51	1
am	51	2
ass	51	3
int	51	3
ie	50	2
end	50	3
ary	50	3
on	49	2
ies	49	3
est	49	3
C	48	1
ia	48	2
ical	48	4
ch	47	2
ally	47	4
ins	47	3
as	46	2
th	46	2
able	46	4
comp	46	4
reg	46	3
par	46	3
el	46	2
G	45	1
ne	45	2
sp	45	2
co	45	2
os	45	2
ter	45	3
R	44	1
ens	44	3
ph	43	2
ver	43	3
op	42	2
out	42	3
ian	42	3
ob	42	2
ings	42	4
z	41	1
ates	41	4
o	40	1
it	40	2
ap	40	2
pl	40	2
str	40	3
over	40	4
rem	40	3
le	40	2
k	39	1
ro	39	2
ol	39	2
ir	39	2
oc	39	2
sh	39	2
inc	39	3
arr	39	3
id	37	2
pre	37	3
att	37	3
car	37	3
land	37	4
ance	37	4
u	36	1
ion	36	3
ors	36	3
cons	36	4
def	36	3
fr	36	2
ization	36	7
um	36	2
om	35	2
ab	35	2
cl	35	2
ide	35	3
sc	35	2
ities	35	5
cr	35	2
ial	35	3
F	34	1
age	34	3
part	34	4
ions	34	4
mon	34	3
K	33	1
ot	33	2
ative	33	5
ret	33	3
des	33	3
y	33	1
and	32	3
art	32	3
ous	32	3
app	32	3
Sch	32	3
ence	32	4
et	32	2
D	31	1
T	31	1
te	31	2
ere	31	3
ge	31	2
ely	31	3
mod	31	3
mer	31	3
br	31	2
vol	31	3
sur	31	3
les	31	3
i	30	1
ip	30	2
ants	30	4
ful	30	3
il	30	2
E	29	1
L	29	1
ig	29	2
ag	29	2
rom	29	3
led	29	3
rel	29	3
ina	29	3
conf	29	4
yl	29	2
ically	29	6
cent	29	4
cor	29	3
ans	29	3
P	28	1
V	28	1
all	28	3
gr	28	2
ific	28	4
col	28	3
off	28	3
mar	28	3
N	27	1
ul	27	2
ast	27	3
lic	27	3
ert	27	3
up	27	2
fl	27	2
ized	27	4
post	27	4
vis	27	3
ology	27	5
ut	26	2
ure	26	3
emb	26	3
ics	26	3
ines	26	4
mult	26	4
leg	26	3
der	26	3
qu	26	2
he	25	2
port	25	4
ang	25	3
ard	25	3
act	25	3
form	25	4
pres	25	4
under	25	5
met	25	3
way	25	3
rest	25	4
kon	25	3
ological	25	8
ment	25	4
vers	25	4
ise	25	3
ref	25	3
son	25	3
av	24	2
ust	24	3
cre	24	3
Al	24	2
pol	24	3
als	24	3
ational	24	7
prom	24	4
hyd	24	3
ness	24	4
ton	24	3
our	23	3
ik	23	2
ual	23	3
vent	23	4
red	23	3
dist	23	4
ando	23	4
ism	23	3
aff	23	3
ability	23	7
dem	23	3
gen	23	3
div	23	3
sol	23	3
od	22	2
ain	22	3
cont	22	4
St	22	2
val	22	3
ric	22	3
ish	22	3
bl	22	2
gl	22	2
real	22	4
Br	22	2
bi	22	2
super	22	5
min	22	3
ons	22	3
ances	22	5
J	21	1
j	21	1
the	21	3
iv	21	2
ess	21	3
me	21	2
ign	21	3
ite	21	3
pat	21	3
med	21	3
Mar	21	3
sl	21	2
elect	21	5
cy	21	2
ov	21	2
ult	21	3
A	20	1
ort	20	3
ak	20	2
ell	20	3
not	20	3
ach	20	3
Ch	20	2
ple	20	3
ys	20	2
acc	20	3
let	20	3
ages	20	4
mat	20	3
contr	20	5
micro	20	5
ada	20	3
ur	19	2
be	19	2
ub	19	2
ber	19	3
one	19	3
Re	19	2
iss	19	3
comm	19	4
rec	19	3
ven	19	3
sign	19	4
air	19	3
cal	19	3
test	19	4
dr	19	2
equ	19	3
ores	19	4
expl	19	4
dom	19	3
imp	19	3
bar	19	3
kom	19	3
rep	19	3
ments	19	5
oph	19	3
ado	19	3
if	18	2
ase	18	3
fer	18	3
ory	18	3
ug	18	2
ann	18	3
ade	18	3
ale	18	3
ular	18	4
arg	18	3
atic	18	4
els	18	3
ext	18	3
ident	18	5
ified	18	5
ting	18	4
ides	18	4
ists	18	4
adv	18	3
exp	18	3
mun	18	3
ained	18	5
che	18	3
for	17	3
pe	17	2
ire	17	3
ight	17	4
pos	17	3
eng	17	3
aut	17	3
ze	17	2
ible	17	4
ures	17	4
ros	17	3
line	17	4
bel	17	3
Col	17	3
ana	17	3
iet	17	3
log	17	3
consider	17	8
ination	17	7
ification	17	9
prop	17	4
ably	17	4
ised	17	4
stit	17	4
respond	17	7
coll	17	4
aining	17	6
pert	17	4
mic	17	3
den	17	3
und	17	3
ten	17	3
ost	17	3
ce	16	2
ue	16	2
her	16	3
go	16	2
ep	16	2
ser	16	3
fe	16	2
ym	16	2
reat	16	4
pass	16	4
dec	16	3
ulation	16	7
ains	16	4
ison	16	4
ives	16	4
pred	16	4
dest	16	4
invest	16	6
atal	16	4
neg	16	3
ened	16	4
ators	16	5
conv	16	4
uct	16	3
ening	16	5
\	16	1
ley	16	3
Con	16	3
ile	16	3
mal	16	3
wh	15	2
iz	15	2
ib	15	2
ition	15	5
we	15	2
ize	15	3
Ar	15	2
use	15	3
its	15	3
back	15	4
rop	15	3
hist	15	4
organ	15	5
hum	15	3
path	15	4
inf	15	3
appe	15	4
ively	15	5
af	15	2
fac	15	3
Gu	15	2
Mon	15	3
imm	15	3
ulated	15	6
hyp	15	3
flu	15	3
intr	15	4
abil	15	4
ou	15	2
enc	15	3
ore	15	3
ator	15	4
ra	14	2
ill	14	3
ath	14	3
ther	14	4
ari	14	3
erm	14	3
ater	14	4
ry	14	2
ied	14	3
const	14	5
cess	14	4
work	14	4
produ	14	5
iffer	14	5
ren	14	3
urs	14	3
ced	14	3
ger	14	3
ats	14	3
cept	14	4
cap	14	3
ress	14	4
ium	14	3
ste	14	3
ather	14	5
ios	14	3
bed	14	3
Ad	14	2
cer	14	3
comb	14	4
ently	14	5
vern	14	4
err	14	3
ured	14	4
ious	14	4
Bar	14	3
supp	14	4
Pat	14	3
spect	14	5
fort	14	4
stru	14	4
aging	14	5
bre	14	3
/	14	1
del	14	3
urb	14	3
ord	13	3
io	13	2
ack	13	3
class	13	5
inal	13	4
my	13	2
eg	13	2
ern	13	3
na	13	2
sim	13	3
spec	13	4
inv	13	3
ars	13	3
amb	13	3
ward	13	4
sk	13	2
ax	13	2
ty	13	2
ited	13	4
anal	13	4
ino	13	3
ca	13	2
lev	13	3
commun	13	6
pot	13	3
serv	13	4
ves	13	3
position	13	8
sal	13	3
cur	13	3
ling	13	4
ako	13	3
imin	13	4
mut	13	3
acy	13	3
ending	13	6
istic	13	5
prec	13	4
exc	13	3
cos	13	3
izing	13	5
gar	13	3
centr	13	5
psych	13	5
phen	13	4
occup	13	5
otic	13	4
osph	13	4
hom	13	3
ener	13	4
Z	12	1
In	12	2
ient	12	4
ace	12	3
no	12	2
az	12	2
li	12	2
ents	12	4
any	12	3
uc	12	2
