�	8910	1
ing	78	3
s	75	1
ed	59	2
con	50	3
re	40	2
in	36	2
ly	34	2
f	28	1
d	23	1
com	20	3
th	19	2
se	19	2
e	19	1
ation	18	5
h	18	1
m	17	1
w	17	1
ex	17	2
ass	16	3
r	16	1
al	16	2
pro	16	3
c	16	1
st	15	2
tr	15	2
ind	15	3
ated	15	4
n	15	1
er	14	2
res	14	3
im	14	2
de	14	2
op	13	2
ations	13	6
sub	13	3
t	13	1
b	13	1
ic	12	2
ac	12	2
ific	12	4
app	12	3
ical	12	4
comp	12	4
v	12	1
dis	12	3
us	11	2
ally	11	4
the	11	3
en	11	2
p	11	1
x	10	1
ne	10	2
int	10	3
pr	10	2
equ	10	3
def	10	3
cons	10	4
ad	10	2
le	10	2
ate	9	3
sc	9	2
l	9	1
W	9	1
0	8	1
C	8	1
at	8	2
is	8	2
om	8	2
ent	8	3
ight	8	4
ies	8	3
str	8	3
ely	8	3
pos	8	3
att	8	3
ful	8	3
inter	8	5
ident	8	5
reg	8	3
g	8	1
des	8	3
est	8	3
es	8	2
el	8	2
y	8	1
ion	7	3
ab	7	2
ess	7	3
ity	7	3
ary	7	3
ish	7	3
eng	7	3
under	7	5
rem	7	3
appro	7	5
off	7	3
arr	7	3
aff	7	3
um	7	2
sign	7	4
bel	7	3
conf	7	4
ained	7	5
sur	7	3
un	7	2
R	7	1
<	6	1
>	6	1
id	6	2
ag	6	2
end	6	3
ant	6	3
ain	6	3
ple	6	3
ang	6	3
port	6	4
text	6	4
math	6	4
led	6	3
over	6	4
ions	6	4
br	6	2
ics	6	3
any	6	3
way	6	3
part	6	4
by	6	2
ared	6	4
comm	6	4
ball	6	4
ious	6	4
arrow	6	5
trans	6	5
suggest	6	7
ob	6	2
long	6	4
appe	6	4
em	6	2
dist	6	4
eff	6	3
poss	6	4
cent	6	4
man	6	3
dr	6	2
k	6	1
ance	6	4
prom	6	4
ref	6	3
or	5	2
it	5	2
ar	5	2
ue	5	2
iv	5	2
ort	5	3
art	5	3
ap	5	2
ach	5	3
ect	5	3
oc	5	2
ip	5	2
ize	5	3
ory	5	3
class	5	5
ann	5	3
should	5	6
be	5	2
ied	5	3
me	5	2
sp	5	2
land	5	4
cal	5	3
na	5	2
iffer	5	5
ating	5	5
pre	5	3
ually	5	5
go	5	2
mod	5	3
list	5	4
ought	5	5
program	5	7
consider	5	8
access	5	6
serv	5	4
ison	5	4
group	5	5
sl	5	2
success	5	7
position	5	8
ently	5	5
ains	5	4
comput	5	6
space	5	5
ured	5	4
sing	5	4
where	5	5
ives	5	4
elect	5	5
respond	5	7
orem	5	4
opt	5	3
pol	5	3
commun	5	6
used	5	4
cor	5	3
volution	5	8
car	5	3
exp	5	3
pres	5	4
unc	5	3
posed	5	5
vision	5	6
rest	5	4
grad	5	4
atisf	5	5
itting	5	6
some	5	4
oted	5	4
ist	5	3
lying	5	5
stat	5	4
ened	5	4
leg	5	3
dec	5	3
pop	5	3
der	5	3
dem	5	3
aching	5	6
occ	5	3
par	5	3
quality	5	7
u	5	1
ings	5	4
ers	5	3
S	5	1
per	5	3
ult	5	3
M	5	1
an	4	2
if	4	2
ine	4	3
begin	4	5
our	4	3
li	4	2
ust	4	3
lic	4	3
able	4	4
ive	4	3
ens	4	3
ast	4	3
ser	4	3
ide	4	3
cl	4	2
ian	4	3
ry	4	2
there	4	5
using	4	5
vent	4	4
set	4	3
ven	4	3
ote	4	3
ger	4	3
public	4	6
ep	4	2
col	4	3
strong	4	6
ca	4	2
result	4	6
ced	4	3
ried	4	4
ting	4	4
ational	4	7
point	4	5
self	4	4
